# Title: bmyjacks/adhosts
#
# The following are hosts in the BFW(Bmyjacks Fire Wall) database with the ATS classification ONLY.
# This file will NOT protect you against malicious domains.
# Although this file is constantly updated, there is NO GUARANTEE that advertisements will be completely removed from your device.
# Last modified: 2020-03-06 15:56:38
# Hosts: 297
#
127.0.0.1 localhost #IPv4 localhost
::1 localhost #IPv6 localhost
#
#
# SERVER START
#
127.0.0.1 www.googleadservices.com
127.0.0.1 vortex.data.microsoft.com
127.0.0.1 tajs.qq.com
127.0.0.1 pagead2.googlesyndication.com
127.0.0.1 adservice.google.com
127.0.0.1 munchkin.marketo.net
127.0.0.1 pgdt.gtimg.cn
127.0.0.1 ad.ettoday.net
127.0.0.1 doubleclick.net
127.0.0.1 doubleclick.com
127.0.0.1 outbrain.com
127.0.0.1 trvdp.com
127.0.0.1 vod-ettoday.cdn.hinet.net
127.0.0.1 edgecast-vod.yahoo.net
127.0.0.1 otf.msn.com
127.0.0.1 c.msn.com
127.0.0.1 c.bing.com
127.0.0.1 hm.baidu.com
127.0.0.1 collector.githubapp.com
127.0.0.1 site.cdnmaster.com
127.0.0.1 www.google-analytics.com
127.0.0.1 analytics.163.com
127.0.0.1 mt.analytics.163.com
127.0.0.1 crash.163.com
127.0.0.1 crashlytics.163.com
127.0.0.1 iad.g.163.com
127.0.0.1 mobile.pipe.aria.microsoft.com
127.0.0.1 bingads.microsoft.com
127.0.0.1 advertise.bingads.microsoft.com
127.0.0.1 ad.mi.com
127.0.0.1 accounts.doubleclick.net
127.0.0.1 ad.doubleclick.net
127.0.0.1 ad-apac.doubleclick.net
127.0.0.1 ad-emea.doubleclick.net
127.0.0.1 ad-g.doubleclick.net
127.0.0.1 ad2.doubleclick.net
127.0.0.1 betareportcentral.doubleclick.net
127.0.0.1 ad.bg.doubleclick.net
127.0.0.1 ad.cl.doubleclick.net
127.0.0.1 creative.doubleclick.net
127.0.0.1 creatives.doubleclick.net
127.0.0.1 dfp.doubleclick.net
127.0.0.1 ad.eg.doubleclick.net
127.0.0.1 3243857.fls.doubleclick.net
127.0.0.1 bid.g.doubleclick.net
127.0.0.1 cm.g.doubleclick.net
127.0.0.1 dp.g.doubleclick.net
127.0.0.1 googleads.g.doubleclick.net
127.0.0.1 googleads2.g.doubleclick.net
127.0.0.1 googleads4.g.doubleclick.net
127.0.0.1 pubads.g.doubleclick.net
127.0.0.1 securepubads.g.doubleclick.net
127.0.0.1 stats.g.doubleclick.net
127.0.0.1 survey.g.doubleclick.net
127.0.0.1 g0.doubleclick.net
127.0.0.1 g1.doubleclick.net
127.0.0.1 g2.doubleclick.net
127.0.0.1 g3.doubleclick.net
127.0.0.1 gan.doubleclick.net
127.0.0.1 ad.il.doubleclick.net
127.0.0.1 ir.doubleclick.net
127.0.0.1 iv.doubleclick.net
127.0.0.1 m.doubleclick.net
127.0.0.1 ad.mo.doubleclick.net
127.0.0.1 n4403ad.doubleclick.net
